Wiki_ID;Title;Author;Genre
19859;"Moby-Dick; or, The Whale";Herman Melville;['Sea story', 'Fiction', 'Adventure novel']
20361;Moonfleet;J. Meade Falkner;['Adventure novel']
21725;Neuromancer;William Gibson;['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Dystopia']
21861;Cryptonomicon;Neal Stephenson;['Fiction', 'Novel']
22113;No Logo;Naomi Klein;['Business', 'Non-fiction', 'Economics', 'Anthropology', 'Sociology', 'Fiction']
23279;The Three Stigmata of Palmer Eldritch;Philip K. Dick;['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia']
23280;Time out of Joint;Philip K. Dick;['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia']
23281;A Scanner Darkly;Philip K. Dick;['Science Fiction', 'Psychological novel', 'Speculative fiction', 'Roman à clef', 'Fiction', 'Dystopia']
23285;Radio Free Albemuth;Philip K. Dick;['Science Fiction', 'Speculative fiction', 'Dystopia']
24162;Pride and Prejudice;Jane Austen;['Satire', 'Fiction', 'Romance novel', 'Novel']
24861;Pale Fire;Vladimir Vladimirovich Nabokov;['Fiction']
25830;Rosencrantz & Guildenstern Are Dead;Tom Stoppard;['Absurdist fiction']
26052;Ringworld;Larry Niven;['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']
26476;Rendezvous with Rama;Arthur C. Clarke;['Hard science fiction', 'Science Fiction', 'Speculative fiction']
27490;Sense and Sensibility;Jane Austen;"[""Children's literature"", 'Fiction', 'Romance novel', 'Novel']"
28230;Speaker for the Dead;Orson Scott Card;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']
28426;Starship Troopers;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
28833;Sir Gawain and the Green Knight;Pearl Poet;['Poetry']
29414;Stuart Little;E. B. White;"['Speculative fiction', ""Children's literature"", 'Fiction']"
29798;The Lord of the Rings;J. R. R. Tolkien;['Adventure novel', 'Speculative fiction', 'Fantasy', 'Fiction', 'Chivalric romance', 'High fantasy']
29821;The Doors of Perception;Aldous Huxley;['Philosophy', 'Non-fiction']
29834;The Time Machine;H. G. Wells;"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Romance novel', 'Fantasy', 'Fiction', 'Time travel', 'Dystopia', 'Scientific romance']"
29991;The Shockwave Rider;John Brunner;['Science Fiction', 'Speculative fiction', 'Novel']
29999;The Shining;Stephen King;"['Gothic fiction', ""Children's literature"", 'Horror', 'Speculative fiction', 'Fiction']"
30033;Mort;Terry Pratchett;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']
30280;The Hound of the Baskervilles;Arthur Conan Doyle;['Crime Fiction', 'Mystery', 'Detective fiction', 'Novel']
30292;The Hobbit;J. R. R. Tolkien;"[""Children's literature"", 'Juvenile fantasy', 'Adventure novel', 'Speculative fiction', 'Fantasy', 'Fiction']"
30706;The Great Divorce;C. S. Lewis;['Speculative fiction', 'Fantasy', 'Religion']
30709;The Screwtape Letters;C. S. Lewis;['Epistolary novel', 'Inspirational', 'Speculative fiction', 'Satire', 'Fantasy', 'Fiction', 'Humour']
30757;The Pit and the Pendulum;Nancy Kilpatrick;['Horror', 'Speculative fiction', 'Short story']
30761;The Hunt for Red October;Tom Clancy;"['Novel', 'Techno-thriller', ""Children's literature"", 'Fiction', 'Suspense']"
30762;The Cardinal of the Kremlin;Tom Clancy;['Thriller', 'Fiction', 'Novel']
30763;Debt of Honor;Tom Clancy;['Thriller', 'Fiction', 'Novel']
30971;Tunnel in the Sky;Robert A. Heinlein;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
31283;The Mismeasure of Man;Stephen Jay Gould;['Non-fiction', 'Science']
31342;The Picture of Dorian Gray;Oscar Wilde;['Gothic fiction', 'Speculative fiction', 'Horror', 'Fiction']
31434;The Sentinel;Arthur C. Clarke;['Speculative fiction']
31435;The Fountains of Paradise;Arthur C. Clarke;['Science Fiction', 'Speculative fiction']
31584;Lord of the Flies;William Golding;['Speculative fiction', 'Young adult literature', 'Fiction', 'Novel']
31623;Through the Looking-Glass;Lewis Carroll;"[""Children's literature""]"
33651;Waiting for Godot;Samuel Beckett;['Poetry', 'Drama', 'Fiction', 'Absurdist fiction', 'Play']
33790;The Wanderer;Fritz Leiber;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']
36218;2010: Odyssey Two;Arthur C. Clarke;['Science Fiction', 'Speculative fiction']
36681;Brave New World;Aldous Huxley;"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Utopian and dystopian fiction', 'Fiction', 'Dystopia']"
37322;Aeneid;Virgil;['Fantasy', 'Fiction', 'Poetry']
37373;Paradise Lost;John Milton;['Poetry']
37737;The Invisible Man;H. G. Wells;"['Albino bias', 'Science Fiction', ""Children's literature"", 'Horror', 'Novel', 'Speculative fiction', 'Science', 'Fiction', 'Scientific romance']"
38093;Twenty Thousand Leagues Under the Sea;Emanuel J Mickel;"['Science Fiction', ""Children's literature"", 'Novel', 'Adventure novel', 'Fiction', 'Scientific romance']"
38114;Keep the Aspidistra Flying;George Orwell;['Novel']
38279;Lions' Commentary on UNIX 6th Edition, with Source Code;John Lions;['Computer Science']
38615;The Myth of Sisyphus;Albert Camus;['Existentialism']
41522;Northanger Abbey;Jane Austen;['Gothic fiction', 'Satire', 'Reference', 'Fiction', 'Romance novel']
42478;The Rime of the Ancient Mariner;Samuel Taylor Coleridge;['Poetry']
42572;The Eye of the World;Robert Jordan;['Speculative fiction', 'Fantasy', 'High fantasy']
42573;The Great Hunt;Robert Jordan;['Speculative fiction', 'Fantasy']
42574;A Crown of Swords;Robert Jordan;['Speculative fiction', 'Fantasy']
42575;Winter's Heart;Robert Jordan;['Speculative fiction', 'Fantasy']
42609;Around the World in Eighty Days;Jules Verne;"[""Children's literature"", 'Fiction', 'Adventure novel']"
42645;The Grapes of Wrath;John Steinbeck;['Novel']
42673;How Green Was My Valley;Richard Llewellyn;['Historical fiction', 'Drama', 'Fiction', 'Novel']
42906;The Queen of the Damned;Anne Rice;['Horror', 'Supernatural', 'Speculative fiction', 'Fantasy', 'Fiction', 'Gothic fiction']
43023;Gulliver's Travels;Jonathan Swift;['Science Fiction', 'Satire', 'Fantasy', 'Speculative fiction']
43168;The Color Purple;Alice Walker;['Epistolary novel', 'Fiction']
43206;A Midsummer Night's Dream;William Shakespeare;['Fantasy', 'Comedy']
44005;The English Patient;Michael Ondaatje;['Fiction', 'Novel']
44447;The Forge of God;Greg Bear;['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']
44449;Blood Music;Greg Bear;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']
44472;The World According to Garp;John Irving;['Literary fiction']
44524;Mutiny on the Bounty;James Norman Hall;['History', 'Novel']
45047;The Memory of Earth;Orson Scott Card;['Science Fiction', 'Speculative fiction', 'Fiction']
45076;Sixth Column;Robert A. Heinlein;['Science Fiction', 'Fantasy', 'Fiction']
45081;The Puppet Masters;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
45133;The Wind in the Willows;Kenneth Grahame;"[""Children's literature"", 'Fiction', 'Novel']"
45227;The Hunting of the Snark;Lewis Carroll;['Speculative fiction']
45232;Jonathan Livingston Seagull;Richard Bach;['Self-help', 'Spirituality', 'Speculative fiction', 'Fiction', 'Novella']
45492;I Am Legend;Richard Matheson;['Vampire fiction', 'Science Fiction', 'Horror', 'Speculative fiction', 'Zombies in popular culture', 'Apocalyptic and post-apocalyptic fiction', 'Fiction', 'Catastrophic literature', 'Dystopia']
45896;The Stranger;Albert Camus;['Crime Fiction', 'Existentialism', 'Fiction', 'Absurdist fiction', 'Suspense']
45903;The Man in the High Castle;Philip K. Dick;['Alternate history', 'Science Fiction', 'Speculative fiction', 'Fantasy', 'Dystopia']
45908;Rocket Ship Galileo;Robert A. Heinlein;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
45912;Space Cadet;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']
45918;Between Planets;Robert A. Heinlein;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"
45921;Starman Jones;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']
45927;Podkayne of Mars;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
46064;Story of O;Pauline Réage;['Erotica']
46184;The Star Beast;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
47974;Dr. No;Ian Fleming;['Spy fiction']
48573;The Andromeda Strain;Michael Crichton;['Science Fiction', 'Speculative fiction', 'Techno-thriller', 'Mystery', 'Suspense', 'Fiction']
48648;Harry Potter and the Philosopher's Stone;J. K. Rowling;"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
49759;Down and Out in Paris and London;George Orwell;['Autobiographical novel', 'Autobiography', 'Fiction', 'Memoir', 'Non-fiction']
49917;The Last Man;Mary Shelley;['Catastrophic literature', 'Apocalyptic and post-apocalyptic fiction', 'Science Fiction', 'Speculative fiction', 'Fiction']
49922;The Transmigration of Timothy Archer;Philip K. Dick;['Speculative fiction', 'Novel']
50223;Dirk Gently's Holistic Detective Agency;Douglas Adams;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Comedy']
50376;Dragonflight;Anne McCaffrey;"['Science Fiction', ""Children's literature"", 'Fantasy', 'Fiction']"
52224;The Diamond Age;Neal Stephenson;['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Fiction', 'Postcyberpunk']
52803;The Hunchback of Notre Dame;Victor Hugo;"[""Children's literature"", 'Fiction']"
52853;Alice's Adventures in Wonderland;Lewis Carroll;"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Absurdist fiction', 'Fiction']"
52927;Now Wait for Last Year;Philip K. Dick;['Science Fiction', 'Speculative fiction', 'Fantasy']
53071;The Magician's Nephew;C. S. Lewis;"['Speculative fiction', 'Fantasy', ""Children's literature""]"
53515;The Patchwork Girl of Oz;L. Frank Baum;"['Speculative fiction', 'Fantasy', ""Children's literature""]"
53589;To Sail Beyond the Sunset;Robert A. Heinlein;['Science Fiction', 'Speculative fiction']
53590;Double Star;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']
53591;Time for the Stars;Robert A. Heinlein;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
53592;Citizen of the Galaxy;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
53595;Stranger in a Strange Land;Robert A. Heinlein;['Science Fiction', 'Fiction']
53596;Glory Road;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']
53597;The Moon Is a Harsh Mistress;Robert A. Heinlein;['Science Fiction', 'Fantasy', 'Fiction']
53598;I Will Fear No Evil;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
53600;The Cat Who Walks Through Walls;Robert A. Heinlein;['Science Fiction', 'Speculative fiction']
53673;Methuselah's Children;Robert A. Heinlein;['Science Fiction', 'Speculative fiction']
54436;The Wonderful Wizard of Oz;L. Frank Baum;"['Speculative fiction', 'Fantasy', ""Children's literature""]"
55435;Wuthering Heights;Emily Brontë;['Gothic fiction', 'Fiction', 'Novel']
55438;Jane Eyre;Charlotte Brontë;['Novel', 'Social criticism', 'Romance novel', 'Fiction', 'Bildungsroman', 'Gothic fiction']
55469;Catch-22;Joseph Heller;['Anti-war', 'War novel', 'Absurdist fiction', 'Historical fiction', 'Satire', 'Black comedy']
55483;Robinson Crusoe;Daniel Defoe;"['Speculative fiction', ""Children's literature"", 'Fiction', 'Adventure novel', 'Novel']"
55737;Clear and Present Danger;Tom Clancy;"['Thriller', 'Mystery', ""Children's literature"", 'Fiction', 'Suspense']"
56575;Castle Rackrent;Maria Edgeworth;['Fiction', 'Historical novel']
57344;Emma;Jane Austen;"[""Children's literature"", 'Reference', 'Novel', 'Comedy of manners', 'Romance novel', 'Comedy', 'Fiction']"
57766;Charlie and the Chocolate Factory;Roald Dahl;"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
58406;Anne of Green Gables;Lucy Maud Montgomery;"[""Children's literature"", 'Novel']"
58619;The Wasp Factory;Iain Banks;['Fiction', 'Novel']
58620;Espedair Street;Iain Banks;['Fiction', 'Novel']
58621;The Crow Road;Iain Banks;['Mystery', 'Novel', 'Fiction', 'Suspense']
58622;Consider Phlebas;Iain Banks;['Science Fiction', 'Speculative fiction']
58665;Inversions;Iain Banks;['Science Fiction', 'Speculative fiction']
58901;Ender's Game;Orson Scott Card;['Science Fiction', 'Speculative fiction', 'Fiction']
59411;Measure for Measure;William Shakespeare;['Fiction']
59692;Flow My Tears, The Policeman Said;Philip K. Dick;['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia', 'Novel']
59782;Job: A Comedy of Justice;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Novel']
59784;Farmer in the Sky;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']
59786;Friday;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']
59804;Have Space Suit-Will Travel;Robert A. Heinlein;['Science Fiction', 'Speculative fiction']
59842;Red Planet;Robert A. Heinlein;['Science Fiction', 'Fantasy', 'Fiction', 'Novel']
59844;The Number of the Beast;Robert A. Heinlein;['Science Fiction']
60128;Foundation's Edge;Isaac Asimov;['Science Fiction', 'Speculative fiction', 'Novel']
60129;The Caves of Steel;Isaac Asimov;"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Mystery', 'Fantasy', 'Fiction']"
60130;Prelude to Foundation;Isaac Asimov;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
60131;Foundation and Earth;Isaac Asimov;['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']
60139;Time Enough for Love;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
60145;The Rolling Stones;Robert A. Heinlein;"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"
60146;The Door into Summer;Robert A. Heinlein;['Science Fiction', 'Speculative fiction', 'Fiction']
60149;Farnham's Freehold;Robert A. Heinlein;['Science Fiction']
60161;The Maltese Falcon;Dashiell Hammett;['Crime Fiction', 'Detective fiction', 'Mystery', 'Fiction', 'Hardboiled', 'Suspense']
60171;The Treasure of the Sierra Madre;B. Traven;['Western', 'Fiction', 'Adventure novel']
60266;Funeral in Berlin;Len Deighton;['Spy fiction', 'Fiction']
60267;Billion-Dollar Brain;Len Deighton;['Science Fiction', 'Spy fiction', 'Fiction']
60269;Kim;Rudyard Kipling;['Spy fiction', 'Novel', 'Picaresque novel']
60310;Whit;Iain Banks;['Science Fiction', 'Fantasy', 'Fiction', 'Novel']
60364;Mostly Harmless;Douglas Adams;['Science Fiction', 'Speculative fiction', 'Fiction', 'Comic science fiction', 'Humour']
60956;Native Son;Richard Wright;['Fiction', 'Novel']
61069;A Farewell to Arms;Ernest Hemingway;['Fiction', 'Novel']
61172;Imitation of Life;Fannie Hurst;['Novel']
61179;The Last Command;Timothy Zahn;"['Science Fiction', ""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
61181;The Way of All Flesh;Samuel Butler;['Autobiographical novel']
61324;Alice Adams;Booth Tarkington;['Fantasy', 'Fiction', 'Romance novel', 'Novel']
61489;Les Misérables;Victor Hugo;['Fiction', 'Novel']
61506;Dodsworth;Sinclair Lewis;['Novel']
61528;Lost Horizon;James Hilton;"[""Children's literature"", 'Adventure novel', 'Speculative fiction', 'Fantasy', 'Non-fiction novel', 'Lost World', 'Fiction']"
61958;The Red Badge of Courage;Stephen Crane;['Fiction']
62113;Goodbye, Mr. Chips;James Hilton;['Psychological novel']
62120;Of Mice and Men;John Steinbeck;['Novella']
63099;Ishmael;Daniel Quinn;['Speculative fiction', 'Fantasy', 'Fiction', 'Novel']
63110;David Copperfield;Charles Dickens;['Künstlerroman', 'Fiction', 'Novel']
63335;Childhood's End;Arthur C. Clarke;['Science Fiction', 'Speculative fiction', 'Catastrophic literature', 'Transhumanism']
63750;The Two Towers;J. R. R. Tolkien;"['Science Fiction', ""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
63751;The Return of the King;J. R. R. Tolkien;['Science Fiction', 'Biography', 'Speculative fiction', 'Fantasy', 'Fiction', 'Autobiography']
63985;The Drawing of the Three;Stephen King;"['Science Fiction', ""Children's literature"", 'Horror', 'Western fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"
63987;The Gunslinger;Stephen King;"['Science Fiction', ""Children's literature"", 'Horror', 'Western fiction', 'Speculative fiction', 'Western', 'Fantasy', 'Fiction']"
63992;On Writing: A Memoir of the Craft;Stephen King;['Autobiography']
63997;The Body;Stephen King;['Novella']
64002;Wizard and Glass;Stephen King;"['Science Fiction', ""Children's literature"", 'Horror', 'Speculative fiction', 'Fantasy', 'Fiction']"
64007;The Waste Lands;Stephen King;['Fantasy', 'Science Fiction', 'Speculative fiction', 'Horror', 'Fiction']
64010;The Eyes of the Dragon;Stephen King;"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"
64024;Dolores Claiborne;Stephen King;"['Thriller', ""Children's literature"", 'Horror', 'Speculative fiction', 'Fiction']"
64025;Gerald's Game;Stephen King;['Thriller', 'Speculative fiction', 'Horror']
64026;The Girl Who Loved Tom Gordon: A Novel;Stephen King;['Fiction']
64029;The Green Mile;Stephen King;['Fantasy', 'Speculative fiction', 'Horror']
64035;The Long Walk;Stephen King;['Science Fiction', 'Speculative fiction', 'Horror', 'Dystopia']
64199;Solaris;Stanisław Lem;['Science Fiction', 'Speculative fiction', 'Novel', 'Psychological novel']
65379;The Day of the Triffids;John Wyndham;['Fiction']
66219;Love and Mr Lewisham;H. G. Wells;['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']
66346;The Stardroppers;John Brunner;['Science Fiction']
67003;Carrie;Stephen King;['Science Fiction', 'Horror', 'Speculative fiction', 'Mystery', 'Epistolary novel', 'Fiction', 'Suspense']
67317;Watership Down;Richard Adams;['Speculative fiction', 'Fantasy', 'Fiction']
67838;Harriet the Spy;Louise Fitzhugh;"['Spy fiction', ""Children's literature"", 'Fiction']"
68348;The Big Sleep;Raymond Chandler;['Crime Fiction', 'Detective fiction', 'Novel', 'Hardboiled']
68851;The State of the Art;Iain Banks;['Science Fiction', 'Speculative fiction']
68857;The Player of Games;Iain Banks;['Science Fiction', 'Speculative fiction']
68863;Excession;Iain Banks;['Science Fiction', 'Speculative fiction']
68870;Look to Windward;Iain Banks;['Science Fiction', 'Speculative fiction']
68871;Use of Weapons;Iain Banks;['Science Fiction', 'Speculative fiction']
69111;So Long, and Thanks for All the Fish;Douglas Adams;['Science Fiction', 'Speculative fiction', 'Fiction', 'Comic novel', 'Humour', 'Comic science fiction']
69485;Choke;Chuck Palahniuk;['Black comedy', 'Novel', 'Satire', 'Speculative fiction', 'Fiction']
69868;A Friend of the Earth;T. Coraghessan Boyle;['Speculative fiction', 'Dystopia']
69919;In Search of Lost Time;Marcel Proust;['Autobiographical novel', 'Fiction']
69931;Liza of Lambeth;W. Somerset Maugham;['Speculative fiction', 'Fiction']
70070;The Weirdstone of Brisingamen;Alan Garner;"['Speculative fiction', 'Fantasy', ""Children's literature""]"
70153;The Human Stain;Philip Roth;['Fiction', 'Novel']
70206;Picnic at Hanging Rock;Joan Lindsay;['Mystery', 'Historical novel']
70258;I, the Jury;Mickey Spillane;['Crime Fiction', 'Mystery', 'Fiction', 'Suspense']
70375;Thinks ...;David Lodge;['Fiction', 'Romance novel']
70829;The Adventures of Pinocchio;Carlo Collodi;"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Humour', 'Fiction']"
70850;Smith of Wootton Major;J. R. R. Tolkien;['Fantasy', 'Fiction', 'Novella']
71290;England, England;Julian Barnes;['Speculative fiction', 'Fiction']
71416;Dune;Frank Herbert;['Conspiracy fiction', 'Science Fiction', 'Philosophy', 'Adventure novel', 'Planetary romance', 'Fiction', 'Military science fiction']
71479;Feersum Endjinn;Iain Banks;['Science Fiction', 'Speculative fiction']
71480;Against a Dark Background;Iain Banks;['Science Fiction', 'Speculative fiction', 'Fiction']
71567;Just Like That;Lily Brett;['Autobiographical novel']
71791;Memoirs of a Fox-Hunting Man;Siegfried Sassoon;['Roman à clef', 'Poetry', 'Fiction']
71989;Uncle Tom's Cabin;Harriet Beecher Stowe;['Novel']
72018;The Beach;Alex Garland;['Fiction']
72084;Murder Must Advertise;Dorothy L. Sayers;['Mystery', 'Fiction', 'Suspense']
72398;The Man Who Would Be King;Rudyard Kipling;['Lost World', 'Adventure novel']
73408;To Kill a Mockingbird;Harper Lee;['Fiction']
73530;Mildred Pierce;James M. Cain;['Mystery', 'Hardboiled', 'Novel', 'Suspense', 'Fiction']
73670;A Christmas Carol;Charles Dickens;['Ghost story', 'Morality play', 'Novella', 'Speculative fiction', 'Fairy tale', 'Fiction']
74257;About a Boy;Nick Hornby;['Fiction', 'Novel']
74960;Miss Lulu Bett;Zona Gale;['Fiction', 'Novel']
75214;Flatland: A Romance of Many Dimensions;Edwin Abbott Abbott;['Science Fiction', 'Novella', 'Speculative fiction', 'Science', 'Fiction', 'Mathematics', 'Scientific romance']
75702;Sick Puppy;Carl Hiaasen;['Novel']
76028;The Prisoner of Zenda;Anthony Hope;"['History', ""Children's literature"", 'Fiction', 'Romance novel', 'Novel']"
76033;The Great Gatsby;F. Scott Fitzgerald;['Fiction', 'Novel']
77652;For Whom the Bell Tolls;Ernest Hemingway;['War novel', 'Fiction']
78016;From Russia with Love;Ian Fleming;['Spy fiction']
78145;The Tombs of Atuan;Ursula K. Le Guin;"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Fantasy', 'Fiction', 'Bildungsroman']"
78797;Good Omens;Neil Gaiman;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Comedy', 'Comic novel', 'Fiction']
78799;Coraline;Neil Gaiman;"['Fantasy', 'Speculative fiction', 'Horror', ""Children's literature""]"
79078;The Sandman: Dream Country;Neil Gaiman;['Fantasy', 'Fiction', 'Graphic novel']
79120;Interview with the Vampire;Anne Rice;['Vampire fiction', 'Horror', 'Speculative fiction', 'Fantasy', 'Fiction', 'Gothic fiction']
79498;Tartarin de Tarascon;Alphonse Daudet;"[""Children's literature"", 'Fiction', 'Novel']"
79569;SS-GB;Len Deighton;['Alternate history', 'Speculative fiction']
79578;Finnegans Wake;James Joyce;['Novel']
80124;The Virgin Suicides;Jeffrey Eugenides;['Fiction', 'Novel']
80394;What Makes Sammy Run?;Budd Schulberg;['Satire', 'Fiction', 'Novel']
80497;The Razor's Edge;W. Somerset Maugham;['Novel']
81166;King Solomon's Mines;H. Rider Haggard;['Lost World', 'Speculative fiction', 'Adventure novel']
81812;Babel-17;Samuel R. Delany;['Science Fiction', 'Speculative fiction']
81816;The Languages of Pao;Jack Vance;['Science Fiction', 'Speculative fiction', 'Fiction']
82163;The Count of Monte Cristo;Auguste Maquet;['Romance novel', 'Fiction', 'Adventure novel', 'Historical novel']
82287;Cat's Cradle;Kurt Vonnegut;['Science Fiction', 'Satire', 'Speculative fiction']
82960;Excellent Women;Barbara Pym;['Fiction', 'Novel']
83545;The Scarlet Pimpernel;Baroness Emma Orczy;['Adventure novel', 'Historical novel']
84229;The Robe;Andrew Greeley;['Speculative fiction', 'Fiction']
84791;The Legend of Sleepy Hollow;Washington Irving;['Speculative fiction']
84938;The Thirty-nine Steps;John Buchan, 1st Baron Tweedsmuir;['Thriller', 'Novel']
85766;Dead Air;Iain Banks;['Fiction', 'Novel']
85818;Nibelungenlied;;['Autobiography', 'Biography', 'Poetry']
86351;The Exorcist;William Peter Blatty;['Science Fiction', 'Speculative fiction', 'Horror', 'Fiction']
86928;A Severed Head;Iris Murdoch;['Fiction', 'Novel']
87742;Coming Up for Air;George Orwell;['Fiction']
88353;Shadow Puppets;Orson Scott Card;['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']
89960;The Road to Mars;Eric Idle;['Science Fiction', 'Speculative fiction', 'Comedy', 'Fiction']
